            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.160789155, A.D. 1977-Aug-20 15:51:32.1830,  2.724752187689660E+00,  6.702411536481837E+03,  4.170674680368894E+01,  3.321948803743461E+02,  3.457383626563052E+02, -1.411498825539454E+03,  1.493258301303661E-01,  2.107732338517158E+02,  8.252653029454009E+01, -3.886014225301462E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.161483599, A.D. 1977-Aug-20 15:52:32.1830,  2.724750444859410E+00,  6.702404711689307E+03,  4.170670017335412E+01,  3.321947001419319E+02,  3.457384597796624E+02, -1.471498898348327E+03,  1.493258318724864E-01,  2.197327970953112E+02,  8.350163494135666E+01, -3.886014195077158E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.162178044, A.D. 1977-Aug-20 15:53:32.1830,  2.724748994761598E+00,  6.702398617704669E+03,  4.170665953713024E+01,  3.321945350829669E+02,  3.457385508973238E+02, -1.531498921591819E+03,  1.493258472080179E-01,  2.286923739648641E+02,  8.441258321168225E+01, -3.886013929018756E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.162872489, A.D. 1977-Aug-20 15:54:32.1830,  2.724747781031276E+00,  6.702393166647262E+03,  4.170662399980283E+01,  3.321943836095406E+02,  3.457386363377863E+02, -1.591498906698289E+03,  1.493258717539187E-01,  2.376519616381305E+02,  8.526541172891524E+01, -3.886013503168394E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.163566933, A.D. 1977-Aug-20 15:55:32.1830,  2.724746759232207E+00,  6.702388280538071E+03,  4.170659281521133E+01,  3.321942443128974E+02,  3.457387164420932E+02, -1.651498862637160E+03,  1.493259023453760E-01,  2.466115578856560E+02,  8.606544284009715E+01, -3.886012972432965E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.164261377, A.D. 1977-Aug-20 15:56:32.1830,  2.724745894106481E+00,  6.702383890592780E+03,  4.170656535935380E+01,  3.321941159441898E+02,  3.457387915526427E+02, -1.711498796444821E+03,  1.493259367022533E-01,  2.555711609439020E+02,  8.681738350823360E+01, -3.886012376370960E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.164955822, A.D. 1977-Aug-20 15:57:32.1830,  2.724745157515523E+00,  6.702379936413801E+03,  4.170654110860463E+01,  3.321939973964044E+02,  3.457388620055777E+02, -1.771498713667087E+03,  1.493259731887009E-01,  2.645307694208697E+02,  8.752540896314815E+01, -3.886011743363007E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.165650266, A.D. 1977-Aug-20 15:58:32.1830,  2.724744526836699E+00,  6.702376364984083E+03,  4.170651962206008E+01,  3.321938876878399E+02,  3.457389281249280E+02, -1.831498618564941E+03,  1.493260106385562E-01,  2.734903822003295E+02,  8.819323361413564E+01, -3.886011093641042E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.166344711, A.D. 1977-Aug-20 15:59:32.1830,  2.724743983810303E+00,  6.702373129967926E+03,  4.170650052719365E+01,  3.321937859471623E+02,  3.457389902200550E+02, -1.891498514547283E+03,  1.493260482289726E-01,  2.824499984083176E+02,  8.882417131491670E+01, -3.886010441480739E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.167039155, A.D. 1977-Aug-20 16:00:32.1830,  2.724743513594583E+00,  6.702370190806500E+03,  4.170648350818831E+01,  3.321936914001512E+02,  3.457390485832165E+02, -1.951498404251134E+03,  1.493260853879262E-01,  2.914096173476067E+02,  8.942118671127552E+01, -3.886009796806200E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.167733599, A.D. 1977-Aug-20 16:01:32.1830,  2.724743104064047E+00,  6.702367512013082E+03,  4.170646829641193E+01,  3.321936033579523E+02,  3.457391034887551E+02, -2.011498289728032E+03,  1.493261217266419E-01,  3.003692384648602E+02,  8.998693911424841E+01, -3.886009166362313E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.168428044, A.D. 1977-Aug-20 16:02:32.1830,  2.724742745259932E+00,  6.702365062521628E+03,  4.170645466262333E+01,  3.321935212067501E+02,  3.457391551928843E+02, -2.071498172567086E+03,  1.493261569899970E-01,  3.093288613212446E+02,  9.052382009158985E+01, -3.886008554575207E+03,  9.999999999999998E+99,  9.999999999999998E+99,
