            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147814618, A.D. 1977-Aug-20 15:32:51.1830,  2.725350127232342E+00,  6.702478752058101E+03,  4.171218257856884E+01,  3.322028501629856E+02,  3.457332978274569E+02, -2.904536709645151E+02,  1.494012421711245E-01,  4.339413923526164E+01,  3.378514929792959E+01, -3.884706440894775E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147826192, A.D. 1977-Aug-20 15:32:52.1830,  2.725348155587252E+00,  6.702480081584406E+03,  4.171217188113506E+01,  3.322028444485694E+02,  3.457333231546474E+02, -2.914536133953798E+02,  1.494009416251185E-01,  4.354344428131299E+01,  3.388279369636271E+01, -3.884711650735272E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147837766, A.D. 1977-Aug-20 15:32:53.1830,  2.725346185137582E+00,  6.702481404687888E+03,  4.171216116505708E+01,  3.322028386932765E+02,  3.457333483051140E+02, -2.924535576530573E+02,  1.494006414494540E-01,  4.369274910754164E+01,  3.398028347222265E+01, -3.884716854173486E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147849340, A.D. 1977-Aug-20 15:32:54.1830,  2.725344215946086E+00,  6.702482721340166E+03,  4.171215043072299E+01,  3.322028328972203E+02,  3.457333732797244E+02, -2.934535037257535E+02,  1.494003416532291E-01,  4.384205371596472E+01,  3.407761860183353E+01, -3.884722051051643E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147860914, A.D. 1977-Aug-20 15:32:55.1830,  2.725342248074873E+00,  6.702484031513572E+03,  4.171213967851868E+01,  3.322028270605164E+02,  3.457333980793495E+02, -2.944534516016510E+02,  1.494000422454342E-01,  4.399135810860058E+01,  3.417479906420337E+01, -3.884727241213828E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147872488, A.D. 1977-Aug-20 15:32:56.1830,  2.725340281585401E+00,  6.702485335181122E+03,  4.171212890882792E+01,  3.322028211832826E+02,  3.457334227048618E+02, -2.954534012689107E+02,  1.493997432349514E-01,  4.414066228746832E+01,  3.427182484100720E+01, -3.884732424506005E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147884062, A.D. 1977-Aug-20 15:32:57.1830,  2.725338316538474E+00,  6.702486632316562E+03,  4.171211812203229E+01,  3.322028152656388E+02,  3.457334471571364E+02, -2.964533527156721E+02,  1.493994446305557E-01,  4.428996625458763E+01,  3.436869591656981E+01, -3.884737600775992E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147895637, A.D. 1977-Aug-20 15:32:58.1830,  2.725336352994258E+00,  6.702487922894296E+03,  4.171210731851121E+01,  3.322028093077070E+02,  3.457334714370504E+02, -2.974533059300562E+02,  1.493991464409146E-01,  4.443927001197862E+01,  3.446541227784920E+01, -3.884742769873465E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147907211, A.D. 1977-Aug-20 15:32:59.1830,  2.725334391012267E+00,  6.702489206889436E+03,  4.171209649864183E+01,  3.322028033096112E+02,  3.457334955454826E+02, -2.984532609001660E+02,  1.493988486745889E-01,  4.458857356166151E+01,  3.456197391441912E+01, -3.884747931649952E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147918785, A.D. 1977-Aug-20 15:33:00.1830,  2.725332430651372E+00,  6.702490484277772E+03,  4.171208566279920E+01,  3.322027972714774E+02,  3.457335194833142E+02, -2.994532176140885E+02,  1.493985513400324E-01,  4.473787690565632E+01,  3.465838081845202E+01, -3.884753085958834E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147930359, A.D. 1977-Aug-20 15:33:01.1830,  2.725330471969801E+00,  6.702491755035779E+03,  4.171207481135615E+01,  3.322027911934338E+02,  3.457335432514276E+02, -3.004531760598959E+02,  1.493982544455931E-01,  4.488718004598292E+01,  3.475463298470225E+01, -3.884758232655322E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147941933, A.D. 1977-Aug-20 15:33:02.1830,  2.725328515025143E+00,  6.702493019140598E+03,  4.171206394468327E+01,  3.322027850756103E+02,  3.457335668507073E+02, -3.014531362256467E+02,  1.493979579995128E-01,  4.503648298466058E+01,  3.485073041048881E+01, -3.884763371596468E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147953507, A.D. 1977-Aug-20 15:33:03.1830,  2.725326559874345E+00,  6.702494276570058E+03,  4.171205306314893E+01,  3.322027789181389E+02,  3.457335902820391E+02, -3.024530980993878E+02,  1.493976620099279E-01,  4.518578572370792E+01,  3.494667309567838E+01, -3.884768502641147E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147965081, A.D. 1977-Aug-20 15:33:04.1830,  2.725324606573720E+00,  6.702495527302645E+03,  4.171204216711936E+01,  3.322027727211535E+02,  3.457336135463102E+02, -3.034530616691548E+02,  1.493973664848700E-01,  4.533508826514257E+01,  3.504246104266818E+01, -3.884773625650053E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147976655, A.D. 1977-Aug-20 15:33:05.1830,  2.725322655178943E+00,  6.702496771317504E+03,  4.171203125695851E+01,  3.322027664847897E+02,  3.457336366444093E+02, -3.044530269229745E+02,  1.493970714322650E-01,  4.548439061098092E+01,  3.513809425636909E+01, -3.884778740485704E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147988229, A.D. 1977-Aug-20 15:33:06.1830,  2.725320705745052E+00,  6.702498008594450E+03,  4.171202033302812E+01,  3.322027602091852E+02,  3.457336595772263E+02, -3.054529938488657E+02,  1.493967768599352E-01,  4.563369276323813E+01,  3.523357274418850E+01, -3.884783847012419E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147999803, A.D. 1977-Aug-20 15:33:07.1830,  2.725318758326464E+00,  6.702499239113945E+03,  4.171200939568772E+01,  3.322027538944793E+02,  3.457336823456522E+02, -3.064529624348399E+02,  1.493964827755989E-01,  4.578299472392784E+01,  3.532889651601309E+01, -3.884788945096314E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148011377, A.D. 1977-Aug-20 15:33:08.1830,  2.725316812976949E+00,  6.702500462857101E+03,  4.171199844529456E+01,  3.322027475408132E+02,  3.457337049505790E+02, -3.074529326689049E+02,  1.493961891868702E-01,  4.593229649506178E+01,  3.542406558419228E+01, -3.884794034605314E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148022952, A.D. 1977-Aug-20 15:33:09.1830,  2.725314869749665E+00,  6.702501679805687E+03,  4.171198748220372E+01,  3.322027411483299E+02,  3.457337273928997E+02, -3.084529045390619E+02,  1.493958961012611E-01,  4.608159807864990E+01,  3.551907996352057E+01, -3.884799115409109E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148034526, A.D. 1977-Aug-20 15:33:10.1830,  2.725312928697134E+00,  6.702502889942088E+03,  4.171197650676799E+01,  3.322027347171738E+02,  3.457337496735082E+02, -3.094528780333118E+02,  1.493956035261792E-01,  4.623089947669975E+01,  3.561393967122121E+01, -3.884804187379195E+03,  9.999999999999998E+99,  9.999999999999998E+99,
