            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.168428044, A.D. 1977-Aug-20 16:02:32.1830,      48.182846,  1.403892897230784E+04,  1.358697812844872E+04,  1.654638066745043E+04,  2.944342820787609E+00,  8.154291450971675E+00,  7.651758363721289E+00,  8.540023989750355E-02,  2.560234783266225E+04,  1.088714628095130E+01,
2443376.169122488, A.D. 1977-Aug-20 16:03:32.1830,      48.182846,  1.421500191109237E+04,  1.407566253241060E+04,  1.700478999509138E+04,  2.924959022256894E+00,  8.135315941334625E+00,  7.628737704368300E+00,  8.757905807033939E-02,  2.625554108823178E+04,  1.088582945237950E+01,
2443376.169816933, A.D. 1977-Aug-20 16:04:32.1830,      48.182846,  1.438994746068392E+04,  1.456323090208073E+04,  1.746185064463760E+04,  2.906745899939350E+00,  8.117083544195578E+00,  7.606789903127855E+00,  8.975753697162073E-02,  2.690863263274805E+04,  1.088377532437003E+01,
2443376.170511378, A.D. 1977-Aug-20 16:05:32.1830,      48.182846,  1.456383286376218E+04,  1.504972663020313E+04,  1.791762479865377E+04,  2.889605353147400E+00,  8.099554847935558E+00,  7.585843063727250E+00,  9.193554013259735E-02,  2.756158155390900E+04,  1.088109203399609E+01,
2443376.171205822, A.D. 1977-Aug-20 16:06:32.1830,      48.182846,  1.473671979207554E+04,  1.553519081396324E+04,  1.837217051161459E+04,  2.873449556500585E+00,  8.082692731514109E+00,  7.565831373274730E+00,  9.411295117961492E-02,  2.821435296377075E+04,  1.087787266543174E+01,
2443376.171900266, A.D. 1977-Aug-20 16:07:32.1830,      48.182846,  1.490866492386734E+04,  1.601966238973317E+04,  1.882554205650828E+04,  2.858199689273993E+00,  8.066462272365376E+00,  7.546694500516177E+00,  9.628967105323881E-02,  2.886691716506191E+04,  1.087419749909116E+01,
2443376.172594711, A.D. 1977-Aug-20 16:08:32.1830,      48.182846,  1.507972045058145E+04,  1.650317826191686E+04,  1.927779023733933E+04,  2.843784843593597E+00,  8.050830642896857E+00,  7.528377059605155E+00,  9.846561563969922E-02,  2.951924894110867E+04,  1.087013589478662E+01,
2443376.173289155, A.D. 1977-Aug-20 16:09:32.1830,      48.182846,  1.524993452271423E+04,  1.698577342538376E+04,  1.972896267123774E+04,  2.830141083562492E+00,  8.035767001040560E+00,  7.510828132051098E+00,  1.006407137481001E-01,  3.017132694941733E+04,  1.086574787347467E+01,
2443376.173983600, A.D. 1977-Aug-20 16:10:32.1830,      48.182846,  1.541935164315224E+04,  1.746748108125765E+04,  2.017910404346368E+04,  2.817210632138114E+00,  8.021242378741759E+00,  7.494000840250061E+00,  1.028149053784861E-01,  3.082313320245377E+04,  1.086108544991066E+01,
2443376.174678044, A.D. 1977-Aug-20 16:11:32.1830,      48.182846,  1.558801301506398E+04,  1.794833274602343E+04,  2.062825633822272E+04,  2.804941166456418E+00,  8.007229571122114E+00,  7.477851966714956E+00,  1.049881402353164E-01,  3.147465262199421E+04,  1.085619375876496E+01,
