            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147837766, A.D. 1977-Aug-20 15:32:53.1830,      48.182846,  7.277825943705568E+03, -1.656417617392008E+03,  1.719132837907884E+03,  6.164773507625837E+00,  8.829755726663794E+00,  9.524712578090849E+00,  2.554889489200377E-02,  7.659365998857455E+03,  6.085964791281411E+00,
2443376.147849340, A.D. 1977-Aug-20 15:32:54.1830,      48.182846,  7.283987488098760E+03, -1.647587128233466E+03,  1.728656784795794E+03,  6.158316939852864E+00,  8.831220701733713E+00,  9.523180398126671E+00,  2.556922106027850E-02,  7.665459630806257E+03,  6.101292113387112E+00,
2443376.147860914, A.D. 1977-Aug-20 15:32:55.1830,      48.182846,  7.290142580911021E+03, -1.638755179759495E+03,  1.738179197111491E+03,  6.151870349312319E+00,  8.832674363941031E+00,  9.521643440219224E+00,  2.558959828503917E-02,  7.671568569104477E+03,  6.116577496263989E+00,
2443376.147872488, A.D. 1977-Aug-20 15:32:56.1830,      48.182846,  7.296291232130163E+03, -1.629921783263693E+03,  1.747700070096680E+03,  6.145433757098438E+00,  8.834116751820826E+00,  9.520101743647322E+00,  2.561002642645351E-02,  7.677692771831452E+03,  6.131820977167911E+00,
2443376.147884062, A.D. 1977-Aug-20 15:32:57.1830,      48.182846,  7.302433451764910E+03, -1.621086950001104E+03,  1.757219399032287E+03,  6.139007183950018E+00,  8.835547903950532E+00,  9.518555347574637E+00,  2.563050534481476E-02,  7.683832197104154E+03,  6.147022594119036E+00,
2443376.147895637, A.D. 1977-Aug-20 15:32:58.1830,      48.182846,  7.308569249844551E+03, -1.612250691188171E+03,  1.766737179238346E+03,  6.132590650252141E+00,  8.836967858947883E+00,  9.517004291048792E+00,  2.565103490054429E-02,  7.689986803077958E+03,  6.162182385894401E+00,
2443376.147907211, A.D. 1977-Aug-20 15:32:59.1830,      48.182846,  7.314698636418580E+03, -1.603413018002701E+03,  1.776253406073878E+03,  6.126184176037925E+00,  8.838376655468878E+00,  9.515448613000469E+00,  2.567161495419403E-02,  7.696156547947386E+03,  6.177300392020531E+00,
2443376.147918785, A.D. 1977-Aug-20 15:33:00.1830,      48.182846,  7.320821621556353E+03, -1.594573941583828E+03,  1.785768074936778E+03,  6.119787780990259E+00,  8.839774332205749E+00,  9.513888352242557E+00,  2.569224536644902E-02,  7.702341389946863E+03,  6.192376652766056E+00,
2443376.147930359, A.D. 1977-Aug-20 15:33:01.1830,      48.182846,  7.326938215346731E+03, -1.585733473031976E+03,  1.795281181263693E+03,  6.113401484443564E+00,  8.841160927884966E+00,  9.512323547469288E+00,  2.571292599812985E-02,  7.708541287351451E+03,  6.207411209134368E+00,
2443376.147941933, A.D. 1977-Aug-20 15:33:02.1830,      48.182846,  7.333048427897740E+03, -1.576891623408824E+03,  1.804792720529904E+03,  6.107025305385560E+00,  8.842536481265249E+00,  9.510754237255405E+00,  2.573365671019508E-02,  7.714756198477576E+03,  6.222404102856267E+00,
2443376.147953507, A.D. 1977-Aug-20 15:33:03.1830,      48.182846,  7.339152269336217E+03, -1.568048403737282E+03,  1.814302688249209E+03,  6.100659262459025E+00,  8.843901031135593E+00,  9.509180460055340E+00,  2.575443736374368E-02,  7.720986081683757E+03,  6.237355376382645E+00,
2443376.147965081, A.D. 1977-Aug-20 15:33:04.1830,      48.182846,  7.345249749807473E+03, -1.559203825001451E+03,  1.823811079973799E+03,  6.094303373963591E+00,  8.845254616313307E+00,  9.507602254202425E+00,  2.577526782001742E-02,  7.727230895371323E+03,  6.252265072877195E+00,
2443376.147976655, A.D. 1977-Aug-20 15:33:05.1830,      48.182846,  7.351340879474945E+03, -1.550357898146605E+03,  1.833317891294135E+03,  6.087957657857512E+00,  8.846597275642088E+00,  9.506019657908080E+00,  2.579614794040321E-02,  7.733490597985116E+03,  6.267133236209107E+00,
2443376.147988229, A.D. 1977-Aug-20 15:33:06.1830,      48.182846,  7.357425668519860E+03, -1.541510634079161E+03,  1.842823117838832E+03,  6.081622131759468E+00,  8.847929047990085E+00,  9.504432709261065E+00,  2.581707758643548E-02,  7.739765148014201E+03,  6.281959910945814E+00,
2443376.147999803, A.D. 1977-Aug-20 15:33:07.1830,      48.182846,  7.363504127140896E+03, -1.532662043666655E+03,  1.852326755274530E+03,  6.075296812950358E+00,  8.849249972248012E+00,  9.502841446226718E+00,  2.583805661979847E-02,  7.746054503992555E+03,  6.296745142345761E+00,
2443376.148011377, A.D. 1977-Aug-20 15:33:08.1830,      48.182846,  7.369576265553842E+03, -1.523812137737725E+03,  1.861828799305771E+03,  6.068981718375107E+00,  8.850560087327231E+00,  9.501245906646202E+00,  2.585908490232850E-02,  7.752358624499752E+03,  6.311488976351161E+00,
2443376.148022952, A.D. 1977-Aug-20 15:33:09.1830,      48.182846,  7.375642093991266E+03, -1.514960927082084E+03,  1.871329245674880E+03,  6.062676864644478E+00,  8.851859432157914E+00,  9.499646128235810E+00,  2.588016229601633E-02,  7.758677468161659E+03,  6.326191459580812E+00,
2443376.148034526, A.D. 1977-Aug-20 15:33:10.1830,      48.182846,  7.381701622702175E+03, -1.506108422450509E+03,  1.880828090161832E+03,  6.056382268036884E+00,  8.853148045687156E+00,  9.498042148586224E+00,  2.590128866300925E-02,  7.765010993651076E+03,  6.340852639322912E+00,
2443376.148046100, A.D. 1977-Aug-20 15:33:11.1830,      48.182846,  7.387754861951700E+03, -1.497254634554823E+03,  1.890325328584129E+03,  6.050097944500217E+00,  8.854425966877155E+00,  9.496434005161852E+00,  2.592246386561349E-02,  7.771359159688450E+03,  6.355472563527896E+00,
2443376.148057674, A.D. 1977-Aug-20 15:33:12.1830,      48.182846,  7.393801822020743E+03, -1.488399574067877E+03,  1.899820956796678E+03,  6.043823909653677E+00,  8.855693234703381E+00,  9.494821735300130E+00,  2.594368776629625E-02,  7.777721925042482E+03,  6.370051280801321E+00,
2443376.148069248, A.D. 1977-Aug-20 15:33:13.1830,      48.182846,  7.399842513205672E+03, -1.479543251623542E+03,  1.909314970691655E+03,  6.037560178789596E+00,  8.856949888152784E+00,  9.493205376210872E+00,  2.596496022768798E-02,  7.784099248530820E+03,  6.384588840396734E+00,
2443376.148080822, A.D. 1977-Aug-20 15:33:14.1830,      48.182846,  7.405876945817977E+03, -1.470685677816698E+03,  1.918807366198385E+03,  6.031306766875282E+00,  8.858195966221974E+00,  9.491584964975617E+00,  2.598628111258448E-02,  7.790491089020676E+03,  6.399085292208600E+00,
2443376.148092396, A.D. 1977-Aug-20 15:33:15.1830,      48.182846,  7.411905130543060E+03, -1.461826862675156E+03,  1.928298139848860E+03,  6.025063688183096E+00,  8.859431507988791E+00,  9.489960538449997E+00,  2.600765028522411E-02,  7.796897405811737E+03,  6.413540687625658E+00,
2443376.148103970, A.D. 1977-Aug-20 15:33:16.1830,      48.182846,  7.417927077003127E+03, -1.452966817771849E+03,  1.937787286514911E+03,  6.018830957779980E+00,  8.860656552316671E+00,  9.488332133650905E+00,  2.602906760619247E-02,  7.803318157108617E+03,  6.427955076079744E+00,
2443376.148115544, A.D. 1977-Aug-20 15:33:17.1830,      48.182846,  7.423942795912598E+03, -1.444105553056640E+03,  1.947274802802271E+03,  6.012608589296859E+00,  8.861871138294637E+00,  9.486699787174564E+00,  2.605053294006632E-02,  7.809753302312450E+03,  6.442328510208653E+00,
2443376.148127118, A.D. 1977-Aug-20 15:33:18.1830,      48.182846,  7.429952297640260E+03, -1.435243078968370E+03,  1.956760684787557E+03,  6.006396596419410E+00,  8.863075304940461E+00,  9.485063535583258E+00,  2.607204615032394E-02,  7.816202800495050E+03,  6.456661042400124E+00,
2443376.148138692, A.D. 1977-Aug-20 15:33:19.1830,      48.182846,  7.435955592568433E+03, -1.426379405906863E+03,  1.966244928583877E+03,  6.000194992517541E+00,  8.864269091272906E+00,  9.483423415307993E+00,  2.609360710061935E-02,  7.822666610780930E+03,  6.470952725647741E+00,
2443376.148150266, A.D. 1977-Aug-20 15:33:20.1830,      48.182846,  7.441952691092642E+03, -1.417514544232923E+03,  1.975727530340712E+03,  5.994003790647249E+00,  8.865452536310015E+00,  9.481779462647928E+00,  2.611521565478438E-02,  7.829144692347888E+03,  6.485203613544003E+00,
